Validator,PT_VERSION,2.12.0
GemmAndBiasTunableOp_BFloat16_TN,tn_2048_1_27_ld_27_27_2048,Default,0.00816032
GemmAndBiasTunableOp_BFloat16_TN,tn_2048_1_24_ld_24_24_2048,Default,0.00561472
GemmAndBiasTunableOp_BFloat16_TN,tn_2048_1_22_ld_22_22_2048,Default,0.0089616
GemmAndBiasTunableOp_BFloat16_TN,tn_512_1_5_ld_5_5_512,Default,0.0067904
GemmTunableOp_float_NN,nn_22_32_1_ld_22_1_22,Default,0.00592992
GemmTunableOp_float_TN,tn_16_22_2048_ld_2048_2048_16,Default,0.0100026
GemmTunableOp_float_TN,tn_2048_22_16_ld_16_16_2048,Default,0.00567968
GemmTunableOp_float_TN,tn_512_22_16_ld_16_16_512,Default,0.00809632
GemmTunableOp_BFloat16_TN,tn_2048_22_4_ld_4_4_2048,Default,0.00907808
GemmTunableOp_BFloat16_TN,tn_8192_22_3_ld_3_3_8192,Default,0.00675584
GemmTunableOp_BFloat16_TN,tn_2048_22_5_ld_5_5_2048,Default,0.00613728
GemmTunableOp_BFloat16_TN,tn_8192_22_5_ld_5_5_8192,Default,0.00688608
GemmTunableOp_BFloat16_NN,nn_2048_22_1_ld_1_1_2048,Default,0.00600704
GemmTunableOp_BFloat16_NN,nn_512_22_1_ld_1_1_512,Default,0.00657184
GemmTunableOp_BFloat16_TN,tn_2048_22_2_ld_2_2_2048,Default,0.00922912
GemmTunableOp_BFloat16_TN,tn_512_22_2_ld_2_2_512,Default,0.00617088
GemmTunableOp_BFloat16_TN,tn_8192_22_4_ld_4_4_8192,Default,0.00852736
GemmTunableOp_BFloat16_TN,tn_2048_22_3_ld_3_3_2048,Default,0.00614016
GemmTunableOp_BFloat16_TN,tn_512_22_3_ld_3_3_512,Default,0.00609376
GemmTunableOp_BFloat16_TN,tn_512_22_4_ld_4_4_512,Default,0.0095504
GemmTunableOp_BFloat16_TN,tn_512_22_5_ld_5_5_512,Default,0.00665664
GemmTunableOp_BFloat16_TN,tn_2048_22_7_ld_7_7_2048,Default,0.00708928
GemmTunableOp_BFloat16_TN,tn_2048_22_27_ld_27_27_2048,Default,0.00675712
GemmTunableOp_float_NN,nn_5_32_1_ld_5_1_5,Default,0.00636672
GemmTunableOp_float_TN,tn_16_5_2048_ld_2048_2048_16,Default,0.0213098
GemmTunableOp_float_TN,tn_2048_5_16_ld_16_16_2048,Default,0.00627712
GemmTunableOp_float_TN,tn_512_5_16_ld_16_16_512,Default,0.0060208
GemmTunableOp_BFloat16_TN,tn_2048_5_2_ld_2_2_2048,Default,0.0066592
GemmTunableOp_BFloat16_TN,tn_8192_5_2_ld_2_2_8192,Default,0.00659104
GemmTunableOp_BFloat16_TN,tn_2048_5_4_ld_4_4_2048,Default,0.0066352
GemmTunableOp_BFloat16_TN,tn_8192_5_4_ld_4_4_8192,Default,0.00853472
GemmTunableOp_BFloat16_TN,tn_8192_5_3_ld_3_3_8192,Default,0.013561
GemmTunableOp_BFloat16_TN,tn_512_5_2_ld_2_2_512,Default,0.00696928
GemmTunableOp_BFloat16_NN,nn_2048_5_1_ld_1_1_2048,Default,0.00657408
GemmTunableOp_BFloat16_NN,nn_512_5_1_ld_1_1_512,Default,0.00698112
GemmTunableOp_BFloat16_TN,tn_2048_5_8_ld_8_8_2048,Default,0.00750816
GemmTunableOp_float_NN,nn_23_32_1_ld_23_1_23,Default,0.0061904
GemmTunableOp_float_TN,tn_16_23_2048_ld_2048_2048_16,Default,0.009632
GemmTunableOp_float_TN,tn_2048_23_16_ld_16_16_2048,Default,0.00657824
GemmTunableOp_float_TN,tn_512_23_16_ld_16_16_512,Default,0.0109965
GemmTunableOp_BFloat16_TN,tn_2048_23_2_ld_2_2_2048,Default,0.00947104
GemmTunableOp_BFloat16_TN,tn_8192_23_2_ld_2_2_8192,Default,0.00884512
GemmTunableOp_BFloat16_TN,tn_2048_23_4_ld_4_4_2048,Default,0.009456
GemmTunableOp_BFloat16_TN,tn_8192_23_4_ld_4_4_8192,Default,0.00770976
GemmTunableOp_BFloat16_NN,nn_2048_23_1_ld_1_1_2048,Default,0.0062352
GemmTunableOp_BFloat16_NN,nn_512_23_1_ld_1_1_512,Default,0.00618944
GemmTunableOp_BFloat16_TN,tn_8192_23_3_ld_3_3_8192,Default,0.00636
GemmTunableOp_BFloat16_TN,tn_512_23_2_ld_2_2_512,Default,0.00725664
GemmTunableOp_BFloat16_TN,tn_2048_23_18_ld_18_18_2048,Default,0.00944352
GemmTunableOp_float_NN,nn_38_32_1_ld_38_1_38,Default,0.00620544
GemmTunableOp_float_TN,tn_16_38_2048_ld_2048_2048_16,Default,0.00968992
GemmTunableOp_float_TN,tn_2048_38_16_ld_16_16_2048,Default,0.00707168
GemmTunableOp_float_TN,tn_512_38_16_ld_16_16_512,Default,0.00896832
GemmTunableOp_BFloat16_TN,tn_2048_38_5_ld_5_5_2048,Default,0.00662304
GemmTunableOp_BFloat16_TN,tn_8192_38_3_ld_3_3_8192,Default,0.00728384
GemmTunableOp_BFloat16_TN,tn_8192_38_5_ld_5_5_8192,Default,0.00668768
GemmTunableOp_BFloat16_NN,nn_2048_38_1_ld_1_1_2048,Default,0.00698688
GemmTunableOp_BFloat16_TN,tn_2048_38_3_ld_3_3_2048,Default,0.00803488
GemmTunableOp_BFloat16_TN,tn_512_38_3_ld_3_3_512,Default,0.00711616
GemmTunableOp_BFloat16_TN,tn_2048_38_4_ld_4_4_2048,Default,0.00969632
GemmTunableOp_BFloat16_TN,tn_512_38_4_ld_4_4_512,Default,0.00685472
GemmTunableOp_BFloat16_TN,tn_8192_38_4_ld_4_4_8192,Default,0.00974048
GemmTunableOp_BFloat16_TN,tn_2048_38_6_ld_6_6_2048,Default,0.0107261
GemmTunableOp_BFloat16_TN,tn_2048_38_9_ld_9_9_2048,Default,0.00665632
GemmTunableOp_BFloat16_TN,tn_8192_38_6_ld_6_6_8192,Default,0.00807616
GemmTunableOp_BFloat16_TN,tn_2048_38_28_ld_28_28_2048,Default,0.00713728
GemmTunableOp_float_TN,tn_8192_2048_5_ld_5_5_8192,Default,0.245252
GemmTunableOp_float_TN,tn_512_2048_22_ld_22_22_512,Default,0.0107965
GemmTunableOp_float_TN,tn_8192_2048_6_ld_6_6_8192,Default,0.241976
GemmTunableOp_float_TN,tn_2048_2048_46_ld_46_46_2048,Default,0.0552131
GemmTunableOp_float_TN,tn_2048_2048_21_ld_21_21_2048,Default,0.0497635
GemmTunableOp_float_TN,tn_512_2048_21_ld_21_21_512,Default,0.0130918
GemmTunableOp_float_TN,tn_512_2048_23_ld_23_23_512,Default,0.010943
GemmTunableOp_float_TN,tn_2048_2048_43_ld_43_43_2048,Default,0.0573597
GemmTunableOp_float_TN,tn_2048_2048_52_ld_52_52_2048,Default,0.061631
GemmTunableOp_float_TN,tn_2048_2048_50_ld_50_50_2048,Default,0.066343
